date,BS,LL,ACC,model,run_id,eval_type,saved_at
2025-10-07,0.17499906183673472,0.5263712234921739,0.782312925170068,hierarchical_sliding,20260424_171716,sliding,2026-04-24T17:17:16.853306
2025-10-27,0.17809961506756755,0.5250198975616964,0.7297297297297297,hierarchical_sliding,20260424_171716,sliding,2026-04-24T17:17:16.853306
2025-11-16,0.16703637937931035,0.520351457308534,0.7655172413793103,hierarchical_sliding,20260424_171716,sliding,2026-04-24T17:17:16.853306
2025-12-06,0.13731398265306122,0.454714541819021,0.8503401360544217,hierarchical_sliding,20260424_171716,sliding,2026-04-24T17:17:16.853306
2025-12-26,0.15097879456953642,0.48530036620393735,0.7947019867549668,hierarchical_sliding,20260424_171716,sliding,2026-04-24T17:17:16.853306
2026-01-15,0.1642895851633987,0.5232814482198467,0.7973856209150327,hierarchical_sliding,20260424_171716,sliding,2026-04-24T17:17:16.853306
2026-02-04,0.20771951117647058,0.6427270409580633,0.7058823529411765,hierarchical_sliding,20260424_171716,sliding,2026-04-24T17:17:16.853306
2026-02-24,0.14598606519480517,0.4681834657923547,0.8246753246753247,hierarchical_sliding,20260424_171716,sliding,2026-04-24T17:17:16.853306
2026-03-16,0.16179673364779876,0.5055302547374537,0.779874213836478,hierarchical_sliding,20260424_171716,sliding,2026-04-24T17:17:16.853306
2026-04-05,0.16327102956043954,0.5086148262356099,0.7692307692307693,hierarchical_sliding,20260424_171716,sliding,2026-04-24T17:17:16.853306
